"Год","Регион","salary","invest"
2000,"Алтайский край",1224.2,426.5
2000,"Амурская область",1825.2,214
2000,"Ненецкий авт.округ",3426.3,30.4
2000,"Астраханская область",1778.6,374.2
2000,"Белгородская область",1554.5,915.2
2000,"Брянская область",1312.1,404.7
2000,"Владимирская область",1279.6,413.9
2000,"Волгоградская обл...",1577.6,469
2000,"Вологодская область",2022.8,423.5
2000,"Воронежская область",1486.5,906.5
2000,"Нижегородская обл...",1717.9,1204.7
2000,"Ивановская область",1037.6,143.5
2000,"Иркутская область",2374.2,696
2000,"Усть-Ордынский Бу...",634.6,6.5
2000,"Республика Ингушетия",587.2,64.2
2000,"Калининградская о...",1843.3,109.6
2000,"Тверская область",1253.7,623.1
2000,"Калужская область",1311.3,362.2
2000,"Краснодарский край",1563.4,771.4
2000,"Камчатский край",3452.4,96.7
2000,"Корякский авт.округ",4508,2.8
2000,"Кемеровская область",2275.5,785.3
2000,"Кировская область",1359.3,385.9
2000,"Костромская область",1438.9,442.1
2000,"Самарская область",2605.2,1236.8
2000,"Курганская область",1341.6,108.8
2000,"Курская область",1464.9,335.9
2000,"Красноярский край",2773.3,1513.2
2000,"г.Санкт-Петербург",2555.6,2290.6
2000,"Таймырский (Долга...",4741.6,93.6
2000,"Ленинградская обл...",1354.9,330.6
2000,"Эвенкийский авт.о...",2043.9,0.5
2000,"Липецкая область",1772,539.1
2000,"Магаданская область",3724.5,16.4
2000,"г.Москва",7998.3,31006.1
2000,"Московская область",1823.9,3536.9
2000,"Мурманская область",3550.1,56.5
2000,"Новгородская область",1807.5,147.3
2000,"Приморский край",1799.8,713.5
2000,"Новосибирская обл...",1608.3,842.4
2000,"Омская область",1582.1,259.6
2000,"Оренбургская область",1451.4,887.1
2000,"Орловская область",1414.5,214.4
2000,"Пензенская область",1259.9,340.1
2000,"Пермский край",2401,742.4
2000,"Коми-Пермяцкий ав...",871,6.1
2000,"Псковская область",1374.8,214.1
2000,"Ростовская область",1653.3,794.5
2000,"Рязанская область",1265.2,168
2000,"Саратовская область",1540.1,605.6
2000,"Сахалинская область",2792.8,857.6
2000,"Свердловская область",2139.7,1864
2000,"Смоленская область",1720.2,400.4
2000,"Тамбовская область",1508.6,201.4
2000,"Томская область",2070.2,292.7
2000,"Ставропольский край",1405,422.2
2000,"Тульская область",1486,428.6
2000,"Тюменская область",4934.5,5447.5
2000,"Ханты-Мансийский ...",6627.5,3155.2
2000,"Ямало-Ненецкий ав...",7562.6,1252.4
2000,"Ульяновская область",1276.6,381.7
2000,"Челябинская область",1968.6,1357.8
2000,"Забайкальский край",1405.7,215.9
2000,"Агинский Бурятски...",995.1,0.1
2000,"Чукотский авт.округ",4731.9,20.8
2000,"Ярославская область",1804.2,550.4
2000,"Республика Адыгея",1385.3,57.9
2000,"Хабаровский край",2500.4,716
2000,"Республика Башкор...",1736.3,2252.6
2000,"Республика Бурятия",1639,108.5
2000,"Республика Дагестан",861.3,160.5
2000,"Кабардино-Балкарс...",1057.1,137.3
2000,"Республика Алтай",1182,24.7
2000,"Республика Калмыкия",979,6.1
2000,"Республика Карелия",2313.2,140.4
2000,"Республика Коми",3140.8,401.1
2000,"Республика Марий Эл",1067.8,268.9
2000,"Республика Мордовия",1128.4,236.8
2000,"Республика Северн...",1472.8,125.3
2000,"Карачаево-Черкесс...",1039.5,14.7
2000,"Республика Татарстан",1813.1,3809.9
2000,"Республика Тыва",1167.6,38.1
2000,"Удмуртская Респуб...",1513.7,280.6
2000,"Республика Хакасия",1904.1,73.2
2000,"Чувашская Республика",1139.9,509.7
2000,"Республика Саха (...",3967.7,1031.4
2000,"Еврейская автоном...",1488.8,25.1
2001,"Алтайский край",1690.7,1208.3
2001,"Амурская область",2313,601.9
2001,"Ненецкий авт.округ",5887.6,33.8
2001,"Астраханская область",2333.3,2791.3
2001,"Белгородская область",2121.4,2098.8
2001,"Брянская область",1818.3,789.8
2001,"Владимирская область",1665.9,959.1
2001,"Волгоградская обл...",2163,1212.6
2001,"Вологодская область",2719,726.3
2001,"Воронежская область",2039.7,2044.2
2001,"Нижегородская обл...",2406.6,2591.5
2001,"Ивановская область",1297.8,393.5
2001,"Иркутская область",2879.5,1846.7
2001,"Усть-Ордынский Бу...",853,38.5
2001,"Республика Ингушетия",908.5,231.7
2001,"Калининградская о...",2339.6,538.8
2001,"Тверская область",1689.6,1878.8
2001,"Калужская область",1782.1,896.4
2001,"Краснодарский край",2124.6,6440
2001,"Камчатский край",4559.1,359.4
2001,"Корякский авт.округ",5427.9,0.4
2001,"Кемеровская область",3086.5,1776.7
2001,"Кировская область",1830.6,773.7
2001,"Костромская область",1904.5,922.1
2001,"Самарская область",3262.6,2591.1
2001,"Курганская область",1784.8,336
2001,"Курская область",1979.9,725.8
2001,"Красноярский край",3571.8,2844
2001,"г.Санкт-Петербург",3425.8,4289
2001,"Таймырский (Долга...",7610.6,9.1
2001,"Ленинградская обл...",1868.7,3948.7
2001,"Эвенкийский авт.о...",3366.6,9.9
2001,"Липецкая область",2261.2,1333.2
2001,"Магаданская область",5069.3,53.4
2001,"г.Москва",10282,28510.3
2001,"Московская область",2626.4,11961
2001,"Мурманская область",4620.2,37.5
2001,"Новгородская область",2407.7,568
2001,"Приморский край",2367.2,1300
2001,"Новосибирская обл...",2140.3,1811.5
2001,"Омская область",2341.4,712.4
2001,"Оренбургская область",1927.4,2051.9
2001,"Орловская область",1963.2,1178.5
2001,"Пензенская область",1708.3,870.3
2001,"Пермский край",3253.9,2177.7
2001,"Коми-Пермяцкий ав...",1156.7,24.4
2001,"Псковская область",1847.7,454.8
2001,"Ростовская область",2270.6,3649.9
2001,"Рязанская область",1852.8,933
2001,"Саратовская область",2035.2,1714.9
2001,"Сахалинская область",3872.4,800.7
2001,"Свердловская область",2994.2,3397.6
2001,"Смоленская область",2336.4,1067.4
2001,"Тамбовская область",2072,770.9
2001,"Томская область",2851.3,593.2
2001,"Ставропольский край",1766.5,2577.6
2001,"Тульская область",2015.1,777.2
2001,"Тюменская область",7108.8,15755.1
2001,"Ханты-Мансийский ...",9594,10598.2
2001,"Ямало-Ненецкий ав...",10732.8,2353.8
2001,"Ульяновская область",1717.1,999.5
2001,"Челябинская область",2500.2,3154.7
2001,"Забайкальский край",2011.5,563.6
2001,"Агинский Бурятски...",1502.7,30.4
